individual,time,treat_post,outcome,treat,post,time_to_treat
9,8,1,38.64375555,1,1,2
9,9,1,35.85119898,1,1,3
9,10,1,42.56633717,1,1,4
10,1,0,21.98538775,1,0,-5
10,2,0,27.84322495,1,0,-4
10,3,0,20.98973453,1,0,-3
10,4,0,24.36168927,1,0,-2
10,5,0,25.53945923,1,0,-1
10,6,1,26.68242526,1,1,0
10,7,1,36.98060139,1,1,1
10,8,1,38.30527636,1,1,2
10,9,1,38.52556728,1,1,3
10,10,1,38.82706433,1,1,4
11,1,0,14.42314629,1,0,-5
11,2,0,20.89677339,1,0,-4
11,3,0,22.78642742,1,0,-3
11,4,0,21.98861365,1,0,-2
11,5,0,26.69357144,1,0,-1
11,6,1,36.02025428,1,1,0
11,7,1,44.93092951,1,1,1
11,8,1,37.87288906,1,1,2
11,9,1,39.78775195,1,1,3
11,10,1,39.62777042,1,1,4
12,1,0,11.90614392,1,0,-5
12,2,0,22.86743062,1,0,-4
12,3,0,24.80115105,1,0,-3
12,4,0,38.31621056,1,0,-2
12,5,0,26.53819518,1,0,-1
12,6,1,35.50773671,1,1,0
12,7,1,35.32644115,1,1,1
12,8,1,31.15660981,1,1,2
12,9,1,44.21411407,1,1,3
12,10,1,43.75966516,1,1,4
13,1,0,25.45515974,1,0,-5
13,2,0,18.45306273,1,0,-4
13,3,0,31.51397155,1,0,-3
13,4,0,18.99074469,1,0,-2
13,5,0,30.43428547,1,0,-1
13,6,1,44.95227813,1,1,0
13,7,1,30.54731837,1,1,1
13,8,1,34.16851135,1,1,2
13,9,1,38.99825683,1,1,3
13,10,1,37.48262173,1,1,4
14,1,0,13.74668284,1,0,-5
14,2,0,23.34281487,1,0,-4
14,3,0,19.18848143,1,0,-3
14,4,0,28.36796215,1,0,-2
14,5,0,22.90287883,1,0,-1
14,6,1,41.74967203,1,1,0
14,7,1,31.58373354,1,1,1
14,8,1,35.38969242,1,1,2
14,9,1,42.56758609,1,1,3
14,10,1,33.84567842,1,1,4
15,1,0,22.63729967,1,0,-5
15,2,0,29.53571377,1,0,-4
15,3,0,16.46258383,1,0,-3
15,4,0,26.92316929,1,0,-2
15,5,0,28.79941397,1,0,-1
15,6,1,37.90911436,1,1,0
15,7,1,29.31524645,1,1,1
15,8,1,30.39771693,1,1,2
15,9,1,41.10970783,1,1,3
15,10,1,41.48492337,1,1,4
16,1,0,22.75246425,1,0,-5
16,2,0,24.73224105,1,0,-4
16,3,0,21.09987639,1,0,-3
16,4,0,27.16126849,1,0,-2
16,5,0,28.96536237,1,0,-1
16,6,1,30.42824291,1,1,0
16,7,1,44.82887256,1,1,1
16,8,1,39.3691646,1,1,2
16,9,1,32.54348251,1,1,3
16,10,1,43.28276804,1,1,4
17,1,0,16.62659165,1,0,-5
17,2,0,26.93542302,1,0,-4
17,3,0,30.2929779,1,0,-3
17,4,0,21.89658841,1,0,-2
17,5,0,32.31688065,1,0,-1
17,6,1,36.06390463,1,1,0
17,7,1,39.6103008,1,1,1
17,8,1,46.48396491,1,1,2
17,9,1,37.27305942,1,1,3
17,10,1,36.23131918,1,1,4
18,1,0,17.05242785,1,0,-5
18,2,0,18.92094858,1,0,-4
18,3,0,24.11449145,1,0,-3
18,4,0,27.70575987,1,0,-2
18,5,0,28.883454,1,0,-1
18,6,1,38.13591625,1,1,0
18,7,1,35.56500946,1,1,1
18,8,1,44.26767039,1,1,2
18,9,1,37.17671583,1,1,3
18,10,1,53.60084583,1,1,4
19,1,0,24.62833674,1,0,-5
19,2,0,18.71421222,1,0,-4
19,3,0,19.14553751,1,0,-3
19,4,0,28.41236208,1,0,-2
19,5,0,26.38268607,1,0,-1
19,6,1,37.57000247,1,1,0
19,7,1,37.86618812,1,1,1
19,8,1,36.63585544,1,1,2
19,9,1,34.26603141,1,1,3
19,10,1,32.42576388,1,1,4
20,1,0,19.26742524,1,0,-5
20,2,0,27.28199397,1,0,-4
20,3,0,25.57046872,1,0,-3
20,4,0,19.77130611,1,0,-2
20,5,0,28.36590463,1,0,-1
20,6,1,35.9265869,1,1,0
20,7,1,31.08071282,1,1,1
20,8,1,37.76862553,1,1,2
20,9,1,38.79104359,1,1,3
20,10,1,34.28514851,1,1,4
21,1,0,23.2889368,1,0,-5
21,2,0,25.80392263,1,0,-4
21,3,0,29.91525622,1,0,-3
21,4,0,31.26901026,1,0,-2
21,5,0,20.61165316,1,0,-1
21,6,1,29.3108748,1,1,0
21,7,1,38.07517634,1,1,1
21,8,1,39.56892975,1,1,2
21,9,1,41.07523843,1,1,3
21,10,1,59.26365745,1,1,4
22,1,0,24.35445255,1,0,-5
22,2,0,28.6778282,1,0,-4
22,3,0,29.27000882,1,0,-3
22,4,0,29.25695626,1,0,-2
22,5,0,25.92365378,1,0,-1
22,6,1,37.7948461,1,1,0
22,7,1,31.63587393,1,1,1
22,8,1,35.81590697,1,1,2
22,9,1,36.07318226,1,1,3
22,10,1,40.4093707,1,1,4
23,1,0,33.07329283,1,0,-5
23,2,0,13.66367404,1,0,-4
23,3,0,27.93130095,1,0,-3
23,4,0,17.93642064,1,0,-2
23,5,0,25.14034067,1,0,-1
23,6,1,39.44475298,1,1,0
23,7,1,35.8214001,1,1,1
23,8,1,31.61127611,1,1,2
23,9,1,34.92348145,1,1,3
23,10,1,43.39798874,1,1,4
24,1,0,17.84816684,1,0,-5
24,2,0,24.08229295,1,0,-4
24,3,0,24.7278592,1,0,-3
24,4,0,22.74199826,1,0,-2
24,5,0,38.21972045,1,0,-1
24,6,1,37.16959511,1,1,0
24,7,1,25.37428707,1,1,1
24,8,1,37.93227157,1,1,2
24,9,1,35.19106768,1,1,3
24,10,1,44.26216667,1,1,4
25,1,0,17.53739631,1,0,-5
25,2,0,22.42631779,1,0,-4
25,3,0,27.02493639,1,0,-3
25,4,0,30.32877597,1,0,-2
25,5,0,21.49851796,1,0,-1
25,6,1,32.32749382,1,1,0
25,7,1,33.12527344,1,1,1
25,8,1,33.73335384,1,1,2
25,9,1,47.3272712,1,1,3
25,10,1,42.02490855,1,1,4
26,1,0,15.19558023,1,0,-5
26,2,0,27.58930974,1,0,-4
26,3,0,35.11078099,1,0,-3
26,4,0,31.1623263,1,0,-2
26,5,0,19.90315017,1,0,-1
26,6,1,31.57882964,1,1,0
26,7,1,41.83455575,1,1,1
26,8,1,33.46165267,1,1,2
26,9,1,40.71909714,1,1,3
26,10,1,43.87317027,1,1,4
27,1,0,16.86534764,1,0,-5
27,2,0,22.70237322,1,0,-4
27,3,0,8.2936633,1,0,-3
27,4,0,20.87806179,1,0,-2
27,5,0,26.23715924,1,0,-1
27,6,1,27.76108409,1,1,0
27,7,1,43.66205652,1,1,1
27,8,1,29.84929311,1,1,2
27,9,1,36.29977757,1,1,3
27,10,1,40.65370289,1,1,4
28,1,0,28.70636645,1,0,-5
28,2,0,15.82068924,1,0,-4
28,3,0,30.31581876,1,0,-3
28,4,0,26.05116531,1,0,-2
28,5,0,22.59245674,1,0,-1
28,6,1,36.31051737,1,1,0
28,7,1,36.49529848,1,1,1
28,8,1,33.99891561,1,1,2
28,9,1,38.84901042,1,1,3
28,10,1,38.07343202,1,1,4
29,1,0,22.06758673,1,0,-5
29,2,0,26.31065337,1,0,-4
29,3,0,32.43008408,1,0,-3
29,4,0,19.81092251,1,0,-2
29,5,0,38.16516687,1,0,-1
29,6,1,24.239561,1,1,0
29,7,1,34.74107452,1,1,1
29,8,1,39.94158603,1,1,2
29,9,1,39.90495934,1,1,3
29,10,1,36.8865024,1,1,4
30,1,0,20.45938875,1,0,-5
30,2,0,20.53499533,1,0,-4
30,3,0,21.55317622,1,0,-3
30,4,0,30.24801049,1,0,-2
30,5,0,29.28507743,1,0,-1
30,6,1,30.53545202,1,1,0
30,7,1,39.99799938,1,1,1
30,8,1,38.5364976,1,1,2
30,9,1,42.56431059,1,1,3
30,10,1,43.14814421,1,1,4
31,1,0,17.35502495,1,0,-5
31,2,0,20.1990948,1,0,-4
31,3,0,28.23646803,1,0,-3
31,4,0,29.05185133,1,0,-2
31,5,0,27.39549203,1,0,-1
31,6,1,34.58663692,1,1,0
31,7,1,41.88832448,1,1,1
31,8,1,34.04214306,1,1,2
31,9,1,41.23548691,1,1,3
31,10,1,38.98903674,1,1,4
32,1,0,20.41159398,1,0,-5
32,2,0,28.49388426,1,0,-4
32,3,0,28.62708174,1,0,-3
32,4,0,30.06754818,1,0,-2
32,5,0,34.02739404,1,0,-1
32,6,1,34.10501921,1,1,0
32,7,1,38.90976486,1,1,1
32,8,1,35.44866622,1,1,2
32,9,1,40.12083176,1,1,3
32,10,1,39.34928473,1,1,4
33,1,0,21.98497982,1,0,-5
33,2,0,25.97578513,1,0,-4
33,3,0,20.40889658,1,0,-3
33,4,0,36.46193638,1,0,-2
33,5,0,22.46991309,1,0,-1
33,6,1,27.92905694,1,1,0
33,7,1,41.29055437,1,1,1
33,8,1,40.95831347,1,1,2
33,9,1,41.62059909,1,1,3
33,10,1,43.14172755,1,1,4
34,1,0,21.43876614,1,0,-5
34,2,0,18.51372814,1,0,-4
34,3,0,24.87902279,1,0,-3
34,4,0,22.61419144,1,0,-2
34,5,0,32.37559867,1,0,-1
34,6,1,33.26471309,1,1,0
34,7,1,31.37251402,1,1,1
34,8,1,35.39307079,1,1,2
34,9,1,40.56465727,1,1,3
34,10,1,37.18137724,1,1,4
35,1,0,17.38889802,1,0,-5
35,2,0,24.21843606,1,0,-4
35,3,0,25.72483286,1,0,-3
35,4,0,23.46528412,1,0,-2
35,5,0,25.14480847,1,0,-1
35,6,1,35.16024969,1,1,0
35,7,1,28.25957829,1,1,1
35,8,1,29.96268113,1,1,2
35,9,1,34.90777889,1,1,3
35,10,1,38.93276424,1,1,4
36,1,0,23.05453783,1,0,-5
36,2,0,30.37678108,1,0,-4
36,3,0,28.78829812,1,0,-3
36,4,0,25.20030735,1,0,-2
36,5,0,27.40491896,1,0,-1
36,6,1,28.98735318,1,1,0
36,7,1,35.40743432,1,1,1
36,8,1,35.55670681,1,1,2
36,9,1,40.1135928,1,1,3
36,10,1,35.86384528,1,1,4
37,1,0,24.09673257,1,0,-5
37,2,0,30.66369457,1,0,-4
37,3,0,23.95619926,1,0,-3
37,4,0,28.00855861,1,0,-2
37,5,0,30.95071996,1,0,-1
37,6,1,31.99389764,1,1,0
37,7,1,36.62046241,1,1,1
37,8,1,37.062962,1,1,2
37,9,1,38.98838049,1,1,3
37,10,1,36.13495108,1,1,4
38,1,0,21.62255087,1,0,-5
38,2,0,25.48999146,1,0,-4
38,3,0,31.75571804,1,0,-3
38,4,0,30.79635413,1,0,-2
38,5,0,38.26591229,1,0,-1
38,6,1,30.16326219,1,1,0
38,7,1,39.86160318,1,1,1
38,8,1,37.91671003,1,1,2
38,9,1,49.44901467,1,1,3
38,10,1,35.95850857,1,1,4
39,1,0,17.30139079,1,0,-5
39,2,0,20.00303677,1,0,-4
39,3,0,13.88052138,1,0,-3
39,4,0,23.37122489,1,0,-2
39,5,0,23.70433669,1,0,-1
39,6,1,34.75196893,1,1,0
39,7,1,37.20877988,1,1,1
39,8,1,46.3808542,1,1,2
39,9,1,43.25211919,1,1,3
39,10,1,37.11548172,1,1,4
40,1,0,17.00792664,1,0,-5
40,2,0,25.45959586,1,0,-4
40,3,0,17.89883396,1,0,-3
40,4,0,35.15729383,1,0,-2
40,5,0,33.3972006,1,0,-1
40,6,1,31.65412174,1,1,0
40,7,1,26.93432735,1,1,1
40,8,1,43.76936187,1,1,2
40,9,1,37.92730077,1,1,3
40,10,1,46.18908156,1,1,4
41,1,0,13.52786171,1,0,-5
41,2,0,20.00312489,1,0,-4
41,3,0,24.5262185,1,0,-3
41,4,0,26.23490297,1,0,-2
41,5,0,25.24967264,1,0,-1
41,6,1,37.11424966,1,1,0
41,7,1,30.16189785,1,1,1
41,8,1,36.28810257,1,1,2
41,9,1,39.10147816,1,1,3
41,10,1,42.57219417,1,1,4
42,1,0,25.05807439,1,0,-5
42,2,0,17.37678954,1,0,-4
42,3,0,16.82942915,1,0,-3
42,4,0,32.38838411,1,0,-2
42,5,0,29.16157006,1,0,-1
42,6,1,30.25756732,1,1,0
42,7,1,43.25575988,1,1,1
42,8,1,37.57837317,1,1,2
42,9,1,44.39648592,1,1,3
42,10,1,40.33759241,1,1,4
43,1,0,31.80373962,1,0,-5
43,2,0,31.77670421,1,0,-4
43,3,0,23.25517926,1,0,-3
43,4,0,30.85785475,1,0,-2
43,5,0,30.72687975,1,0,-1
43,6,1,40.84315779,1,1,0
43,7,1,30.6753827,1,1,1
43,8,1,40.4302573,1,1,2
43,9,1,43.79212243,1,1,3
43,10,1,31.20630257,1,1,4
44,1,0,15.58370744,1,0,-5
44,2,0,12.80383911,1,0,-4
44,3,0,23.15296583,1,0,-3
44,4,0,29.58771128,1,0,-2
44,5,0,35.01178526,1,0,-1
44,6,1,34.3704739,1,1,0
44,7,1,43.64307773,1,1,1
44,8,1,30.09949271,1,1,2
44,9,1,29.9830878,1,1,3
44,10,1,39.72226151,1,1,4
45,1,0,23.42032724,1,0,-5
45,2,0,22.83652626,1,0,-4
45,3,0,14.1627895,1,0,-3
45,4,0,25.5543998,1,0,-2
45,5,0,20.9776525,1,0,-1
45,6,1,37.34836274,1,1,0
45,7,1,37.33299123,1,1,1
45,8,1,32.30060107,1,1,2
45,9,1,35.93066541,1,1,3
45,10,1,34.70393239,1,1,4
46,1,0,21.18660451,1,0,-5
46,2,0,27.7757116,1,0,-4
46,3,0,19.57136977,1,0,-3
46,4,0,28.52023258,1,0,-2
46,5,0,24.84871191,1,0,-1
46,6,1,30.03563584,1,1,0
46,7,1,34.9648482,1,1,1
46,8,1,31.82378839,1,1,2
46,9,1,35.73175347,1,1,3
46,10,1,34.01061054,1,1,4
47,1,0,31.32362566,1,0,-5
47,2,0,23.17631776,1,0,-4
47,3,0,21.00137246,1,0,-3
47,4,0,27.06989955,1,0,-2
47,5,0,26.93835975,1,0,-1
47,6,1,32.895152,1,1,0
47,7,1,38.5708335,1,1,1
47,8,1,40.78753855,1,1,2
47,9,1,35.84749426,1,1,3
47,10,1,37.1209088,1,1,4
48,1,0,20.12474151,1,0,-5
48,2,0,11.49039418,1,0,-4
48,3,0,16.92404469,1,0,-3
48,4,0,32.83437134,1,0,-2
48,5,0,35.72483857,1,0,-1
48,6,1,32.7548198,1,1,0
48,7,1,38.38278482,1,1,1
48,8,1,38.55625077,1,1,2
48,9,1,53.89440404,1,1,3
48,10,1,45.59787456,1,1,4
49,1,0,20.86041204,1,0,-5
49,2,0,18.2222978,1,0,-4
49,3,0,16.4677684,1,0,-3
49,4,0,27.01731818,1,0,-2
49,5,0,23.71824627,1,0,-1
49,6,1,26.88873145,1,1,0
49,7,1,32.26713558,1,1,1
49,8,1,31.59225998,1,1,2
49,9,1,46.93570818,1,1,3
49,10,1,44.40819878,1,1,4
50,1,0,21.46013679,1,0,-5
50,2,0,30.39972069,1,0,-4
50,3,0,24.88684154,1,0,-3
50,4,0,21.69357899,1,0,-2
50,5,0,35.11562039,1,0,-1
50,6,1,36.69455022,1,1,0
50,7,1,30.31376923,1,1,1
50,8,1,36.04830661,1,1,2
50,9,1,34.12190873,1,1,3
50,10,1,33.08600135,1,1,4
51,1,0,26.13088774,1,0,-5
51,2,0,32.5470832,1,0,-4
51,3,0,17.50716213,1,0,-3
51,4,0,28.81484618,1,0,-2
51,5,0,24.24678715,1,0,-1
51,6,1,31.56437308,1,1,0
51,7,1,32.53803038,1,1,1
51,8,1,32.68004615,1,1,2
51,9,1,38.74260814,1,1,3
51,10,1,35.84524942,1,1,4
52,1,0,22.85228413,1,0,-5
52,2,0,22.74880945,1,0,-4
52,3,0,23.30525977,1,0,-3
52,4,0,21.46218169,1,0,-2
52,5,0,24.61614335,1,0,-1
52,6,1,37.77695613,1,1,0
52,7,1,38.00458594,1,1,1
52,8,1,32.11222378,1,1,2
52,9,1,38.99666153,1,1,3
52,10,1,43.75693562,1,1,4
53,1,0,13.15297359,1,0,-5
53,2,0,25.71680096,1,0,-4
53,3,0,21.18688121,1,0,-3
53,4,0,28.85299334,1,0,-2
53,5,0,23.68370422,1,0,-1
53,6,1,24.9755895,1,1,0
53,7,1,27.36228781,1,1,1
53,8,1,37.24042473,1,1,2
53,9,1,39.79861251,1,1,3
53,10,1,35.47841687,1,1,4
54,1,0,24.69296229,1,0,-5
54,2,0,14.69239969,1,0,-4
54,3,0,24.16960101,1,0,-3
54,4,0,19.944919,1,0,-2
54,5,0,24.24081946,1,0,-1
54,6,1,34.23699336,1,1,0
54,7,1,31.19793317,1,1,1
54,8,1,35.07722228,1,1,2
54,9,1,43.53146405,1,1,3
54,10,1,37.11554065,1,1,4
55,1,0,25.67846056,1,0,-5
55,2,0,17.35146573,1,0,-4
55,3,0,27.14902089,1,0,-3
55,4,0,33.2078431,1,0,-2
55,5,0,15.1417775,1,0,-1
55,6,1,30.01552372,1,1,0
55,7,1,38.38536064,1,1,1
55,8,1,35.98477307,1,1,2
55,9,1,40.35572937,1,1,3
55,10,1,36.98007407,1,1,4
56,1,0,21.93294894,1,0,-5
56,2,0,22.22161382,1,0,-4
56,3,0,30.33891031,1,0,-3
56,4,0,27.27210422,1,0,-2
56,5,0,29.18801331,1,0,-1
56,6,1,31.94061517,1,1,0
56,7,1,33.06196888,1,1,1
56,8,1,34.83720906,1,1,2
56,9,1,40.47226071,1,1,3
56,10,1,37.8950776,1,1,4
57,1,0,22.94887428,1,0,-5
57,2,0,33.37700399,1,0,-4
57,3,0,28.85562352,1,0,-3
57,4,0,24.36988234,1,0,-2
57,5,0,33.50606961,1,0,-1
57,6,1,31.95962313,1,1,0
57,7,1,25.30937732,1,1,1
57,8,1,31.95956845,1,1,2
57,9,1,29.14604039,1,1,3
57,10,1,38.24243258,1,1,4
58,1,0,21.5920919,1,0,-5
58,2,0,31.38218656,1,0,-4
58,3,0,26.13463687,1,0,-3
58,4,0,24.90449736,1,0,-2
58,5,0,31.64702791,1,0,-1
58,6,1,22.94432345,1,1,0
58,7,1,36.67807279,1,1,1
58,8,1,40.85432597,1,1,2
58,9,1,31.10706877,1,1,3
58,10,1,45.71877022,1,1,4
59,1,0,23.19248204,1,0,-5
59,2,0,20.92356043,1,0,-4
59,3,0,27.66390933,1,0,-3
59,4,0,37.35346429,1,0,-2
59,5,0,28.40933128,1,0,-1
59,6,1,35.24110293,1,1,0
59,7,1,33.2031955,1,1,1
59,8,1,32.75077815,1,1,2
59,9,1,42.65167908,1,1,3
59,10,1,35.71958087,1,1,4
60,1,0,21.85783119,1,0,-5
60,2,0,20.61171277,1,0,-4
60,3,0,26.89489913,1,0,-3
60,4,0,27.66831053,1,0,-2
60,5,0,32.68769972,1,0,-1
60,6,1,31.44991801,1,1,0
60,7,1,34.15062532,1,1,1
60,8,1,32.10618142,1,1,2
60,9,1,36.2785337,1,1,3
60,10,1,41.88650247,1,1,4
61,1,0,25.28494308,1,0,-5
61,2,0,18.38917338,1,0,-4
61,3,0,28.8480296,1,0,-3
61,4,0,32.77818929,1,0,-2
61,5,0,29.56717452,1,0,-1
61,6,1,43.38397906,1,1,0
61,7,1,31.631054,1,1,1
61,8,1,30.77672648,1,1,2
61,9,1,29.60639876,1,1,3
61,10,1,47.48022156,1,1,4
62,1,0,24.77182828,1,0,-5
62,2,0,22.72207665,1,0,-4
62,3,0,25.89984313,1,0,-3
62,4,0,20.37255476,1,0,-2
62,5,0,39.7287599,1,0,-1
62,6,1,34.64610591,1,1,0
62,7,1,36.04697397,1,1,1
62,8,1,40.62883312,1,1,2
62,9,1,40.90504616,1,1,3
62,10,1,41.11942012,1,1,4
63,1,0,17.54762772,1,0,-5
63,2,0,25.35734179,1,0,-4
63,3,0,33.91012248,1,0,-3
63,4,0,32.72710023,1,0,-2
63,5,0,35.46593313,1,0,-1
63,6,1,31.44392162,1,1,0
63,7,1,30.5519759,1,1,1
63,8,1,36.3710654,1,1,2
63,9,1,38.77862456,1,1,3
63,10,1,45.47095759,1,1,4
64,1,0,13.03767685,1,0,-5
64,2,0,30.6477516,1,0,-4
64,3,0,23.70996051,1,0,-3
64,4,0,23.86559465,1,0,-2
64,5,0,22.43947812,1,0,-1
64,6,1,25.72571664,1,1,0
64,7,1,39.61585292,1,1,1
64,8,1,37.36658984,1,1,2
64,9,1,32.0501955,1,1,3
64,10,1,33.52460614,1,1,4
65,1,0,19.8210765,1,0,-5
65,2,0,31.34510763,1,0,-4
65,3,0,23.20204324,1,0,-3
65,4,0,18.48428523,1,0,-2
65,5,0,26.27128468,1,0,-1
65,6,1,32.63638215,1,1,0
65,7,1,22.01556679,1,1,1
65,8,1,36.72852567,1,1,2
65,9,1,37.34532735,1,1,3
65,10,1,43.48103182,1,1,4
66,1,0,30.74478047,1,0,-5
66,2,0,28.63282515,1,0,-4
66,3,0,23.15555655,1,0,-3
66,4,0,20.46737046,1,0,-2
66,5,0,40.36679902,1,0,-1
66,6,1,34.29609217,1,1,0
66,7,1,35.56964646,1,1,1
66,8,1,36.87937456,1,1,2
66,9,1,39.4904238,1,1,3
66,10,1,39.27819794,1,1,4
67,1,0,18.63168997,1,0,-5
67,2,0,20.26570529,1,0,-4
67,3,0,24.33623365,1,0,-3
67,4,0,23.28287614,1,0,-2
67,5,0,23.93577109,1,0,-1
67,6,1,34.53215114,1,1,0
67,7,1,34.22511391,1,1,1
67,8,1,44.51996494,1,1,2
67,9,1,25.24515096,1,1,3
67,10,1,45.45753426,1,1,4
68,1,0,27.73042596,1,0,-5
68,2,0,12.63304884,1,0,-4
68,3,0,22.78656203,1,0,-3
68,4,0,24.14279567,1,0,-2
68,5,0,20.46244153,1,0,-1
68,6,1,30.11091656,1,1,0
68,7,1,29.94712077,1,1,1
68,8,1,45.76135222,1,1,2
68,9,1,43.17839197,1,1,3
68,10,1,46.35777547,1,1,4
69,1,0,25.10836032,1,0,-5
69,2,0,17.35474114,1,0,-4
69,3,0,21.87739867,1,0,-3
69,4,0,28.44687281,1,0,-2
69,5,0,21.38936096,1,0,-1
69,6,1,37.56499215,1,1,0
69,7,1,34.29837301,1,1,1
69,8,1,35.12589596,1,1,2
69,9,1,42.05479984,1,1,3
69,10,1,42.22131656,1,1,4
70,1,0,19.69516917,1,0,-5
70,2,0,28.79664902,1,0,-4
70,3,0,19.09468336,1,0,-3
70,4,0,29.07967803,1,0,-2
70,5,0,30.46550629,1,0,-1
70,6,1,32.4522678,1,1,0
70,7,1,37.13066511,1,1,1
70,8,1,30.74443212,1,1,2
70,9,1,43.1201351,1,1,3
70,10,1,39.07548932,1,1,4
71,1,0,18.8863849,1,0,-5
71,2,0,28.24504613,1,0,-4
71,3,0,20.97828155,1,0,-3
71,4,0,18.95769352,1,0,-2
71,5,0,19.71685413,1,0,-1
71,6,1,37.03004976,1,1,0
71,7,1,29.09785324,1,1,1
71,8,1,45.77397091,1,1,2
71,9,1,28.09035296,1,1,3
71,10,1,48.48228184,1,1,4
72,1,0,22.55508734,1,0,-5
72,2,0,22.51643444,1,0,-4
72,3,0,21.77540457,1,0,-3
72,4,0,27.99568057,1,0,-2
72,5,0,27.31182649,1,0,-1
72,6,1,39.51650941,1,1,0
72,7,1,36.07113824,1,1,1
72,8,1,37.75150881,1,1,2
72,9,1,36.68193894,1,1,3
72,10,1,39.71527188,1,1,4
73,1,0,23.03900884,1,0,-5
73,2,0,14.44915804,1,0,-4
73,3,0,17.75907289,1,0,-3
73,4,0,29.71632047,1,0,-2
73,5,0,28.35432719,1,0,-1
73,6,1,33.08008332,1,1,0
73,7,1,35.59216967,1,1,1
73,8,1,38.73790853,1,1,2
73,9,1,35.8012016,1,1,3
73,10,1,36.10847637,1,1,4
74,1,0,22.47922628,1,0,-5
74,2,0,18.10813611,1,0,-4
74,3,0,26.54126378,1,0,-3
74,4,0,17.48708198,1,0,-2
74,5,0,32.64577819,1,0,-1
74,6,1,36.36298741,1,1,0
74,7,1,36.78014867,1,1,1
74,8,1,41.91345492,1,1,2
74,9,1,46.82737222,1,1,3
74,10,1,45.07185033,1,1,4
75,1,0,12.29562884,1,0,-5
75,2,0,16.60211517,1,0,-4
75,3,0,21.37590711,1,0,-3
75,4,0,26.13045525,1,0,-2
75,5,0,30.0882951,1,0,-1
75,6,1,30.37128093,1,1,0
75,7,1,36.43383382,1,1,1
75,8,1,33.22308534,1,1,2
75,9,1,35.44241099,1,1,3
75,10,1,32.96669452,1,1,4
76,1,0,16.88383377,1,0,-5
76,2,0,16.24157697,1,0,-4
76,3,0,19.62063374,1,0,-3
76,4,0,31.26820898,1,0,-2
